canonical_smiles,molecule_chembl_id,pIC50,class
C=C1N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)CSCCC(=O)N2CN3CN(C2)C(=O)CCSC[C@H](NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@@H](NC(=O)[C@H](C)N)CSCCC3=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H]1CC(C)C,CHEMBL5420290,7.3979400086720375,Active
CC(=O)CN1C(=O)/C(=N\C(=S)NCc2cc3ccccc3cc2O)c2ccccc21,CHEMBL4159339,6.950781977329818,Active
CC(=O)C[C@]1(O)C(=O)C2=C3O[C@H](C)C(C)(C)[C@]3(O)C(=O)c3c(C)cc(O)c(c32)C1=O,CHEMBL5177969,4.947690900352677,Inactive
CC(=O)N1C(=O)/C(=N\C(=S)NCc2cc3ccccc3cc2O)c2ccccc21,CHEMBL4167651,7.97183558057553,Active
CC(=O)N1CCCC1C(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,CHEMBL342652,8.0268721464003,Active
CC(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,CHEMBL172917,6.481486060122113,Active
CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1,CHEMBL57202,4.309803919971486,Inactive
CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1C(=O)O,CHEMBL57201,4.0,Inactive
CC(=O)SCC(C)C(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL57200,4.619788758288394,Inactive
CC(=O)SCC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,CHEMBL58720,6.886056647693163,Active
CC(=O)SCC(C)C(=O)NCc1ccccc1,CHEMBL326801,3.5,Inactive
CC(=O)SCC(C)C(=O)Nc1ccccc1,CHEMBL322069,6.110924374808178,Active
CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O,CHEMBL12006,4.721246399047171,Inactive
CC(=O)SCC1CCCN(C(C)C(=O)O)C1=O,CHEMBL416339,4.455931955649724,Inactive
CC(=O)SCC1CCCN(CC(=O)O)C1=O,CHEMBL11795,4.0,Inactive
CC(=O)SCC1CCN(CC(=O)O)C1=O,CHEMBL11783,4.481486060122112,Inactive
CC(=O)SCCC(=O)N1Cc2ccccc2C1C(=O)O,CHEMBL61137,4.657577319177793,Inactive
CC(=O)S[C@@H]1C[C@@H](COCc2cc(F)c(F)cc2F)N(C(=O)Oc2cccc3c2OCCO3)C1,CHEMBL191879,4.0,Inactive
CC(C)(C)CN(C[C@H](O)C(=O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,CHEMBL273142,6.718966632752273,Active
CC(C)(C)OC(=O)NCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,CHEMBL40420,8.397940008672037,Active
CC(C)(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,CHEMBL93206,6.0,Active
CC(C)CC(NP(=O)(O)OC1OC(C)C(O)C(O)C1O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,CHEMBL41289,8.299988937677888,Active
CC(C)CC(N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,CHEMBL5220968,4.399999967876858,Inactive
CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(C)C(=O)O,CHEMBL55286,4.920818753952375,Inactive
CC(C)CC(S)C(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,CHEMBL171850,6.1487416512809245,Active
CC(C)CC(S)CC(=O)NC(Cc1ccccc1)C(=O)O,CHEMBL173287,5.0,Inactive
CC(C)CCC(NC(C)C(=O)N1CCCC1C(=O)O)C(=O)O,CHEMBL108606,8.100015437450608,Active
CC(C)CC[C@H](N[C@@H](C)C(=O)N1C(=O)N(Cc2ccccc2)C[C@H]1C(=O)O)C(=O)O,CHEMBL430689,8.481486060122112,Active
CC(C)CN(CP(=O)(O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,CHEMBL442455,7.5376020021010435,Active
