canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,target_chembl_id,type,units,value
CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,CHEMBL152758,7.05,IC50,nM,90.0,CHEMBL1808,IC50,uM,0.09
O=C(CCC(=O)N1CCCC1C(=O)O)NO,CHEMBL291381,4.30,IC50,nM,50000.0,CHEMBL1808,IC50,uM,50.0
C[C@@H](NCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL358439,5.62,IC50,nM,2400.0,CHEMBL1808,IC50,uM,2.4
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1237,8.92,IC50,nM,1.2,CHEMBL1808,IC50,nM,1.2
CC(CCC(=O)N1CCCC1C(=O)O)C(=O)O,CHEMBL293213,,IC50,nM,260000.0,CHEMBL1808,IC50,uM,260.0
C[C@@H](CCC(=O)O)C(=O)N1CCCC1C(=O)O,CHEMBL62678,5.31,IC50,nM,4900.0,CHEMBL1808,IC50,uM,4.9
C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL577,8.92,IC50,nM,1.2,CHEMBL1808,IC50,nM,1.2
O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1c1nn[nH]n1)c1ccccc1,CHEMBL10973,4.66,IC50,nM,22000.0,CHEMBL1808,I50,uM,22.0
CC(=O)SCC1CCCN(CC(=O)O)C1=O,CHEMBL11795,4.00,IC50,nM,100000.0,CHEMBL1808,IC50,M,0.0001
O=C(O)CN1CCC(CS)C1=O,CHEMBL11507,5.43,IC50,nM,3700.0,CHEMBL1808,IC50,M,0.0000037
CC(=O)SCC1CCCN(C(C(=O)O)c2ccccc2)C1=O,CHEMBL12006,4.72,IC50,nM,19000.0,CHEMBL1808,IC50,M,0.000019
O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1P(=O)(O)O)c1ccccc1,CHEMBL10690,4.00,IC50,nM,100000.0,CHEMBL1808,I50,uM,100.0
CC(=O)SCC1CCCN(C(C)C(=O)O)C1=O,CHEMBL416339,4.46,IC50,nM,35000.0,CHEMBL1808,IC50,M,0.000035
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL1560,7.92,IC50,nM,12.0,CHEMBL1808,IC50,M,1.2E-8
CCCCC(CC(=O)NO)[S+]([O-])c1ccccc1,CHEMBL75433,,IC50,nM,100000.0,CHEMBL1808,IC50,uM,100.0
CC(=O)SCC1CCCN(CC(N)=O)C1=O,CHEMBL12050,,IC50,nM,,CHEMBL1808,IC50,M,
CCCC[C@H](CC(=O)NO)S(=O)(=O)c1ccccc1,CHEMBL1788203,4.47,IC50,nM,34000.0,CHEMBL1808,IC50,uM,34.0
CCCCC(CC(=O)NO)S(=O)(=O)c1ccccc1,CHEMBL263501,4.09,IC50,nM,81000.0,CHEMBL1808,IC50,uM,81.0
CCCC[C@@H](CC(=O)NO)S(=O)(=O)c1ccccc1,CHEMBL2092878,,IC50,nM,100000.0,CHEMBL1808,IC50,uM,100.0
O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,CHEMBL416147,7.16,IC50,nM,70.0,CHEMBL1808,I50,uM,0.07
CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,CHEMBL77258,,IC50,nM,100000.0,CHEMBL1808,IC50,uM,100.0
O=C(O)CN1CCCC(CS)C1=O,CHEMBL11707,6.00,IC50,nM,1000.0,CHEMBL1808,IC50,M,0.000001
CC(=O)SCC1CCN(CC(=O)O)C1=O,CHEMBL11783,4.48,IC50,nM,33000.0,CHEMBL1808,IC50,M,0.000033
CCCC(C(=O)O)N1CCCC(CSC(C)=O)C1=O,CHEMBL416706,4.52,IC50,nM,30000.0,CHEMBL1808,IC50,M,0.00003
O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO)c1ccccc1,CHEMBL274553,5.80,IC50,nM,1600.0,CHEMBL1808,I50,uM,1.6
NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO.O=C(O)C(F)(F)F,CHEMBL275702,7.96,IC50,nM,11.0,CHEMBL1808,I50,uM,0.011
NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O.O=C(O)C(F)(F)F,CHEMBL274550,8.12,IC50,nM,7.6,CHEMBL1808,I50,uM,0.0076
CCCCC(CC(=O)NO)S(=O)(=O)c1ccc2ccccc2c1,CHEMBL78001,4.91,IC50,nM,12400.0,CHEMBL1808,IC50,uM,12.4
O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CCc2ccccc21,CHEMBL301364,7.44,IC50,nM,36.0,CHEMBL1808,I50,nM,36.0
C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL287896,7.52,IC50,nM,30.0,CHEMBL1808,I50,nM,30.0
C[C@@H]1Oc2ccccc2N(CC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,CHEMBL50559,7.44,IC50,nM,36.0,CHEMBL1808,I50,nM,36.0
O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21,CHEMBL299441,7.85,IC50,nM,14.0,CHEMBL1808,I50,nM,14.0
C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,CHEMBL299181,8.40,IC50,nM,4.0,CHEMBL1808,I50,nM,4.0
C[C@H]1Oc2ccccc2N(CCC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,CHEMBL52733,7.75,IC50,nM,18.0,CHEMBL1808,I50,nM,18.0
O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)COc2ccccc21,CHEMBL301751,7.51,IC50,nM,31.0,CHEMBL1808,I50,nM,31.0
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CSc2ccccc21,CHEMBL298388,7.89,IC50,nM,13.0,CHEMBL1808,I50,nM,13.0
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)COc2ccccc21,CHEMBL51389,8.36,IC50,nM,4.4,CHEMBL1808,I50,nM,4.4
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CCc2ccccc21,CHEMBL299639,7.92,IC50,nM,12.0,CHEMBL1808,I50,nM,12.0
C[C@H]1Oc2ccccc2N(CC(=O)O)C(=O)[C@H]1NC(=O)[C@@H](S)Cc1ccccc1,CHEMBL53879,7.89,IC50,nM,13.0,CHEMBL1808,I50,nM,13.0
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)COc2ccccc21,CHEMBL54036,7.55,IC50,nM,28.0,CHEMBL1808,I50,nM,28.0
COc1ccc(CSC[C@@H](NC(=O)[C@H](CS)Cc2ccccc2)C(=O)O)cc1,CHEMBL310200,6.54,IC50,nM,290.0,CHEMBL1808,IC50,nM,290.0
O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CCc2ccccc21,CHEMBL51438,7.44,IC50,nM,36.0,CHEMBL1808,I50,nM,36.0
Cc1ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)C(=O)O)cc1C,CHEMBL80055,6.34,IC50,nM,460.0,CHEMBL1808,IC50,nM,460.0
Cc1ccc(CSC[C@@H](NC(=O)[C@H](CS)Cc2ccc3ccccc3c2)C(=O)O)cc1,CHEMBL430431,5.51,IC50,nM,3100.0,CHEMBL1808,IC50,nM,3100.0
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CSc2ccccc21,CHEMBL51780,7.77,IC50,nM,17.0,CHEMBL1808,I50,nM,17.0
O=C(O)CN1C(=O)[C@@H](NC(=O)[C@@H](CS)Cc2ccccc2)CCc2ccccc21,CHEMBL51498,8.32,IC50,nM,4.8,CHEMBL1808,I50,nM,4.8
Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,CHEMBL297792,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(Br)cc1,CHEMBL155874,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
CSc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)cc1,CHEMBL160153,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
CSc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,CHEMBL440921,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1,CHEMBL345597,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,CHEMBL345200,,IC50,nM,1000.0,CHEMBL1808,IC50,uM,1.0
O=C(N[C@H]1CCCN2CC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,CHEMBL66254,7.92,IC50,nM,12.0,CHEMBL1808,I50,nM,12.0
O=C(N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1,CHEMBL66481,8.15,IC50,nM,7.0,CHEMBL1808,I50,nM,7.0
